model,q,q_std,n_splines_q,lam_q,lam_temp,lam_wind,lam_solar,edof_total,r2_train,r2_val_100,rmse_val_100,mae_val_100,r2_val_energy_100,pearson_ALL_100,spearman_ALL_100,r2_val_1000,rmse_val_1000,mae_val_1000,pearson_ALL_1000,spearman_ALL_1000
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,5,20,72.32386643833527,0.9908182084278334,0.9839993630534933,754.7950599916834,607.8363599017042,0.9839993630534933,0.20034228634760537,0.4312821425946047,0.9839993630534933,754.7950599916834,607.8363599017042,0.44198086129103237,0.510669905246766
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,5,50,71.11162654988766,0.9908177350471764,0.9840011370478462,754.7532166796193,607.8154455975465,0.9840011370478462,0.20033961423250338,0.4312900198046817,0.9840011370478462,754.7532166796193,607.8154455975465,0.4419979886875732,0.5106766294944215
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,10,20,71.59332636211701,0.9908182026025303,0.9839989822040023,754.8040428092064,607.8450245451643,0.9839989822040023,0.20034360984579053,0.4312720159276173,0.9839989822040023,754.8040428092064,607.8450245451643,0.4419830501163482,0.5106626802588022
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,10,50,70.38108777885516,0.9908177291871529,0.9840007578168776,754.7621618183512,607.8240677500071,0.9840007578168776,0.20034093668342112,0.4312625869602989,0.9840007578168776,754.7621618183512,607.8240677500071,0.4420001765768999,0.5106741286728604
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,20,20,70.79341619221988,0.9908181891445463,0.9839983942981358,754.817909103663,607.8585277764903,0.9839983942981358,0.2003455319847433,0.43126623258027036,0.9839983942981358,754.817909103663,607.8585277764903,0.4419862072611461,0.5106577967925362
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,20,50,69.58117928953709,0.9908177157062105,0.984000172493218,754.7759679757025,607.8375025916533,0.984000172493218,0.2003428571265138,0.4312836640197866,0.984000172493218,754.7759679757025,607.8375025916533,0.4420033322619756,0.5106788720587855
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,50,20,69.65045441318124,0.9908181527039763,0.9839973772678576,754.8418960861236,607.8824103327387,0.9839973772678576,0.20034846357847977,0.43126306781311424,0.9839973772678576,754.8418960861236,607.8824103327387,0.4419907621517266,0.5106636755243454
QGAM,demand_minus_renewables,demand_minus_renewables_std,10,50,50,50,50,68.43822048211634,0.9908176793034731,0.9839991601817571,754.799844991786,607.8612184854059,0.9839991601817571,0.20034578495253128,0.4312617448208571,0.9839991601817571,754.799844991786,607.8612184854059,0.44200788332559154,0.5106732430323997
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,20,20,5,20,73.64331015825918,0.9908185417248857,0.9840507622321351,753.5817629031209,606.9961394640426,0.9840507622321351,0.19765839624051323,0.42998679613916413,0.9840507622321351,753.5817629031209,606.9961394640426,0.4364775026216257,0.5091289811327142
QGAM,demand_minus_renewables,demand_minus_renewables_std,20,20,20,5,50,72.43105445050591,0.9908180678717964,0.9840525444369528,753.5396582399225,606.9750991814681,0.9840525444369528,0.19764913051969002,0.4299920607348109,0.9840525444369528,753.5396582399225,606.9750991814681,0.4364816816085925,0.509148059262611
